tax_id	name	total_count
131567	cellular organisms	296003
2759	Eukaryota	134113
33154	Opisthokonta	82805
33208	Metazoa	82430
6072	Eumetazoa	82385
33213	Bilateria	81818
33511	Deuterostomia	60857
7711	Chordata	60857
89593	Craniata	60812
7742	Vertebrata	60812
7776	Gnathostomata	60801
117570	Teleostomi	54564
117571	Euteleostomi	54564
8287	Sarcopterygii	45329
1338369	Dipnotetrapodomorpha	45319
32523	Tetrapoda	45319
32524	Amniota	40471
40674	Mammalia	19589
32525	Theria	19588
9347	Eutheria	19113
1437010	Boreoeutheria	18972
314146	Euarchontoglires	16758
9443	Primates	15541
376913	Haplorrhini	15500
314293	Simiiformes	15391
9526	Catarrhini	14697
314295	Hominoidea	13218
9604	Hominidae	11914
207598	Homininae	10489
9605	Homo	5005
9606	Homo sapiens	5005
9596	Pan	583
9597	Pan paniscus	23
9592	Gorilla	205
9593	Gorilla gorilla	205
9595	Gorilla gorilla gorilla	205
607660	Ponginae	65
9599	Pongo	65
9601	Pongo abelii	65
9577	Hylobatidae	287
9578	Hylobates	264
81572	Hylobates moloch	264
314294	Cercopithecoidea	97
9527	Cercopithecidae	97
9528	Cercopithecinae	36
9569	Colobinae	28
54136	Trachypithecus	10
54180	Trachypithecus francoisi	10
9479	Platyrrhini	14
9498	Cebidae	10
38070	Cebinae	6
1532884	Sapajus	6
9515	Sapajus apella	6
376912	Tarsiiformes	33
9475	Tarsiidae	33
1868481	Carlito	33
1868482	Carlito syrichta	33
311790	Afrotheria	67
9774	Sirenia	67
9775	Trichechidae	67
9776	Trichechus	67
9778	Trichechus manatus	67
127582	Trichechus manatus latirostris	67
7898	Actinopterygii	1018
1338366	Cladistia	508
8288	Polypteriformes	508
8289	Polypteridae	508
27686	Erpetoichthys	508
27687	Erpetoichthys calabaricus	508
33090	Viridiplantae	16
35493	Streptophyta	15
131221	Streptophytina	15
3193	Embryophyta	15
58023	Tracheophyta	15
78536	Euphyllophyta	15
58024	Spermatophyta	15
3398	Magnoliopsida	15
1437183	Mesangiospermae	14
71240	eudicotyledons	9
91827	Gunneridae	9
1437201	Pentapetalae	9
2	Bacteria	89981
1783272	Terrabacteria group	19871
1239	Firmicutes	10467
91061	Bacilli	6678
1385	Bacillales	4171
186817	Bacillaceae	1523
1386	Bacillus	673
653685	Bacillus subtilis group	223
1938374	Bacillus amyloliquefaciens group	55
492670	Bacillus velezensis	42
659243	Bacillus siamensis	3
1177185	Bacillus siamensis KCTC 13613	3
1390	Bacillus amyloliquefaciens	3
692420	Bacillus amyloliquefaciens DSM 7 = ATCC 23350	2
1423	Bacillus subtilis	39
135461	Bacillus subtilis subsp. subtilis	14
535024	Bacillus subtilis subsp. subtilis str. SMY	10
653388	Bacillus mojavensis subgroup	10
260554	Bacillus halotolerans	7
72360	Bacillus mojavensis	3
1402	Bacillus licheniformis	8
86661	Bacillus cereus group	18
1392	Bacillus anthracis	7
1396	Bacillus cereus	6
64104	Bacillus pseudomycoides	2
1670641	Bacillus ciccensis	10
1226983	Bacillus qingshengii	8
679261	Bacillus marcorestinctum	8
862644	Bacillus paraflexus	7
582418	Bacillus tianmuensis	7
203540	Bacillus aeolius	6
632773	Bacillus beveridgei	6
408580	Bacillus coahuilensis	5
441769	Bacillus coahuilensis m4-4	5
1325689	Bacillus lycopersici	5
304268	Bacillus alkalitelluris	4
1245523	Bacillus composti	4
1150157	Bacillus bingmayongensis	4
1397	Bacillus circulans	4
363870	Bacillus ginsengihumi	4
363872	Bacillus panaciterrae	3
1503961	Bacillus caseinilyticus	3
254410	Bacillus aurantiacus	3
1274353	Bacillus sediminis	3
1499685	Bacillus andreraoultii	3
1408	Bacillus pumilus	3
1840411	Bacillus capparidis	3
1456	Bacillus benzoevorans	3
432607	Bacillus isabeliae	3
1622072	Bacillus testis	3
1707093	Bacillus camelliae	3
251051	Bacillus thermolactis	3
284579	Bacillus salarius	2
279215	Bacillus alveayuensis	2
425933	Bacillus polygoni	2
254759	Bacillus fordii	2
1925020	Bacillus swezeyi	2
1437434	Bacillus salitolerans	2
1550385	Bacillus alkalitolerans	2
641660	Bacillus beringensis	2
1191699	Bacillus oryziterrae	2
1563637	Bacillus crescens	2
254757	Bacillus farraginis	2
992288	Bacillus pakistanensis	2
2683610	Bacillus spongiae	2
2672567	Bacillus aquiflavi	2
587633	Bacillus chungangensis	2
217031	Bacillus galactosidilyticus	2
1178786	Bacillus thaonhiensis	1
1325931	Bacillus pervagus	1
302048	Bacillus nematocida	1
1653776	Bacillus oceani Song et al. 2016	1
1743143	Bacillus wudalianchiensis	1
1398	Bacillus coagulans	1
1821260	Bacillus marinisedimentorum	1
185979	unclassified Bacillus	1
666686	Bacillus sp. 1NLA3E	1
1479	Bacillus smithii	1
137993	Bacillus funiculus	1
1285900	Bacillus fengqiuensis	1
1448271	Bacillus oleivorans	1
38072	Bacillus infernus	1
218284	Bacillus vietnamensis	1
